name,ascencion_document_number,ascencion_document_date,ascencion_year,photo_url,birth_date,birth_place,death_date,death_place,burial_place,description
Syekh Yusuf Tajul Khalwati ,No Sk 071 / TK / 1995,7  Agustus  1995,1995,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/102.jpg,3 Juli 1626,"Gowa, Sulawesi Selatan",23 Mei 1699,"Cape Town, AfrikaSelatan","Gowa, Sulawesi Selatan","Syekh Yusuf Tajul Khalwati adalah pejuang nasional yang melawan Belanda bukan hanya di tanah kelahirannya. Ia berjuang dari Gowa, Banten hingga Afrika Selatan.Kegigihan perjuangan Syekh Yusuf Tajul Khalwati membuat rakyat Banten bersemangat mengusir penjajah bersama Sultan Ageng Tirtayasa.Syekh Yusuf Tajul Khalwati memiliki pengaruh yang luar biasa dan berhasil meningkatkan kewibawaan kerajaan Banten diantara Raja-raja di Nusantara jaman itu.Syekh Yusuf Tajul Khalwati sepeninggal Sultan Ageng Tirtayasa, memimpin perang Gerilya bersama Pangeran Purbaya dan Pangeran Kidul di Daerah Tanggerang lalu mundur   ke   Muncang, Lawang Taji (Jasinga) menyusur Cidurian akan menuju Cirebon.Pada tahun 1684 Syekh Yusuf Tajul Khalwati dibuang ke pulau Ceylon (Sri Lanka) Sri Lanka. Di Sri Lanka, Syekh Yusuf Tajul Khalwati membentuk Jaringan Islam yang luas, dan melalui murid-muridnya di Nusantara terus mengobarkan perlawanan terhadap Belanda. Dampaknya Belanda  memindahkan Syekh Yusuf Tajul Khalwati ke Zandvliet, Afrika Selatan.Syekh Yusuf Tajul Khalwati di Zandvliet, Afrika Selatan  terus menyebarkan Agama Islam sekaligus semangat anti penjajahan terhadap rakyat Afrika Selatan, sampai wafat (23 Mei 1699).Syekh Yusuf Tajul Khalwati oleh Nelson Mandela disebut  sebagai “Salah Seorang Putra Afrika”"
Hj. Fatimah Siti Hartinah Suharto ,No Sk 060 / TK / 1996,30  Juli  1996,1996,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/103.jpg,23 Agustus 1923,"Desa Jaten, Surakarta(Solo), Jawa Tengah",28 April 1996,"Rumah SakitGatot Subroto, Jakarta, Indonesia","Astana Giribangun, Karang Anyar","Fatimah Siti Hartinah Soeharto untuk pengabdiannya kepada bangsa dan negara pernah menjabat berbagai jabatan kenegaraan antara lain, Ketua Umum Ria Pembangunan, Penasehat Utama Dharma Wanita, Penasehat Utama Dharma Pertiwi, Penasehat Utama Persit Kartika Chandra Kirana, Penasehat   Utama   Persatuan   Isteri    Veteran RI (PIVERI),  Pendiri/Ketua  Yayasan  Kartika Jaya, Pelindung Yayasan Kesejahteraan Anak Indonesia (YKAI), Pelindung Yayasan Kartini, Pelindung Himpunan Pandu dan Pramuka Wreda (HIPRADA), Pelindung Persatuan Wanita Republik Indonesia (PERWARI), Pelindung Yayasan Jantung Indonesia.Fatimah Siti Hartinah Soeharto telah aktif dibidang keorganisasian   sejak remaja dengan aktif di dalam Kepanduan (Pramuka).Fatimah Siti Hartinah Soeharto, pada masa pendudukan Jepang,  menjadi anggota  Fujinkai.Fatimah Siti Hartinah Soeharto memprakarsai pendirian Perpustakaan Nasional sebagai upaya peningkatan minat baca generasi penerus bangsa.Fatimah Siti Hartinah memprakarsai pembangunan Taman Bunga, Taman Anggrek serta Taman Buah sebagai wujud perhatiannya untuk  meningkatkan kesejahteraan petani khususnya petani bunga dan buah-buahan"
Raja Haji Fisabilillah ,No Sk 072 / TK / 1997,11  Agustus  1997,1997,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/104.jpg,1727,"Kota Lama, Ulusungai, Riau, Indonesia",18 Juni 1784,"Teluk Ketapang, Melaka (sekarang Malaysia)","Pulau Penyengat, Kepulauan Riau","Raja Haji Fisabililah adalah Raja Yang Dipertuan Muda Riau-Lingga-Johor-Pahang IV, ia terkenal dalam melawan pemerintahan Belanda dan berhasil membangun pulau Biram Dewa di sungai Riau.Raja Haji sudah terlibat dalam pertempuran dengan pihak Belanda pada Perang Linggi tahun 1756-1758. Perang tersebut meletus sebagai reaksi usaha Belanda meluaskan kekuasaannya di Riau. Pada pertempuran tersebut, Raja Haji terluka. Namun pada pertempuran selanjutnya, pasukan gabungan dari Linggi, Selangor, Remban, Kelang dan Siak dapat mengepung Kota Malaka sehingga satu persatu tempat-tempat kekuasaan Belanda di sekitar Malaka berhasil dikuasai dan diduduki.Ia berperang melawan Belanda dalam peperangan hebat di Teluk Ketapang (Malaka) pada tahun 1784 yang mana Raja Haji sendirilah yang memimpin.Ia Gugur pada saat melakukan penyerangan pangkalan maritim Belanda di Teluk Ketapang (Melaka) pada tahun 1784."
H.  Adam  Malik ,No Sk 107 / TK / 1998,6 November  1998,1998,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/105.jpg,22 Juli 1917,"Pematang Siantar, SumateraUtara",5 September 1984,"Bandung, Jawa Barat",TMPN Utama  Kalibata,"Ia merupakan seorang Wartawan, Aktivis Kemerdekaan, Wakil Presiden Indonesia, Wakil Perdana Menteri, Ketua Majelis Umum PBB, Menteri beberapa Departemen dan Pelopor berdirinya Kantor Berita Antara.Karir perjuangan Adam Malik dimulai sejak di kampung halamannya dengan masuk sebagai anggota kepanduan Hisbul Wathan milik Muhammaditah di Pematang Siantar sebagai Ketua Partai Indonesia (Partindo) dengan basis masa berasal dari sopir-sopir. Ia kemudain ke Batavia dan bergabung menjadi eksponen Organisasi PARI (Partai Republik Indonesia) yang sempat membuatnya masuk penjara.Pada tanggal 13 Desember 1937, ia bersama Pandu Kartawiguna dan kawan-kawan mendirikan Lembaga Kantor Berita “Antara”.Adam Malik juga masuk dalam organisasi Persatuan Perjuangan (PP), kemudian ia mendirikan Partai MURBA (Musyawarah Rakyat Banyak)  dan membentuk Badan Pendukung Soekarnoisme (BPS).Pada tahun 1962, ia berperan menonjol sebagai delegasi dalam proses perindungan Indonesia-Belanda mengenai Irian Barat.dan juga pernah menjadi Ketua Sidang Umum PBB ke 26 Tahun 1971-1972.Ketika menjadi Menteri Luar Negeri, ia membawa politik luar negeri “Bebas Aktif”."
Tjilik Riwut ,No Sk 108 / TK / 1998,6 November  1998,1998,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/106.jpg,2 Februari 1918,"Desa Kasongan, KecamatanKatingan Hilir, Kabupaten Katingan, Kalimantan Tengah.",17 Agustus 1987,"KotaBanjarmasin, Kalimantan Selatan","Sanaman Lampang, Palangkaraya","Pada tahun 1938  ia memprakarsai pendirian Organisasi Pakat Dayak bersama kawan-kawannya   di Banjarmasin untuk  mengangkat Derajat Suku Dayak  dan mempersatukan seluruh masyarakat Suku Dayak.Pada tahun 1946 dipercaya mewakili 142 Suku Dayak untuk menyatakan sumpah setia mendukung eksistensi Pemerintah RI melalui upacara adat leluhur suku dayak di Istana Kepresidenan (Gedung Agung) Yogyakarta.Pada tanggal 17 Oktober 1947 ia memimpin operasi penerjunan pasukan payung pertama di dalam sejarah Angkatan Bersenjata RI, di desa  Sarabi dekat Rantapulut Kotawaringin Barat (Kalimantan Tengah) yang   kemudian hari peristiwannya ditetapkan sebagai Hari Pasukan Khas TNI AU.Pada tahun 1957 – 1967 ia menjabat sebagai Gubernur Kepala Daerah Provinsi Kalimantan Tengah serta merintis dan mempelopori pembangunan Kota Palangkaraya sebagai ibukota Provinsi Kalimantan Tengah.Ia juga dikenal dan berperan besar dalam proses pembaruan pembangunan sistem administrasi pemerintahan di Kalimantan."
La Maddukelleng ,No Sk 109 / TK / 1998,6 November  1998,1998,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/107.jpg,1700,"Wajo, Sulawesi Selatan",1765,"Wajo, Sulawesi Selatan","A. Pettarani, Wajo","Raja Pasir dari Kesultanan Pasir. Raja Wajo (Arung Matowa Wajo XXXIV) di Kerajaan Wajo. Memimpin pasukan dari suku Bugis, Pasir, Kutai, Makassar serta Bugis-Pagatan, untuk melawan Belanda.Perjuangannya dimulai ketika membantu pasukan Daeng Parani, Daeng Marewa dan Haji Sore melawan Johor pada tahun 1715-1721. La Maddukelleng mengirim pasukan yang dipimpin oleh La Banna To Assak, peperangan ini dimenangkan oleh pihak Daeng Parani.Pada 1726 La Maddukelleng diangkat menjadi Sultan Pasir dan pada tahun ini juga ia memerintahkan kepada La Banna To Assak untuk menyerang Maraddia Balapina yang pro dengan Belanda. Misi ini berhasil memperoleh kemenangan. Dilanjutkan dengan pasukannya menuju Gowa dan menembaki Benteng Ujung Pandang tempat persembunyian Belanda yang kemudian lari mengundurkan diri.Terjadi bebarapa kali penolakan untuk menyatakan persaudaraan antara Wajo dengan VOC dari La Maddukelleng kepada VOC. Pada bulan Febuari 1741 terdepat peperangan sengit dalam waktu yang cukup lama antara Wajo dengan Belanda, namun pasukan VOC (Smout) dapat dipukul mundur oleh pasukan Wajo (La Maddukelleng)."
Sultan Assyaidis Syarif Kasim Sani Abdul Jalil Syarifuddin ,No Sk 109 / TK / 1998,6 November  1998,1998,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/108.jpg,1 Desember 1893,"Siak Sri Indrapura,Riau",23 April 1968,"Rumbai,Pekanbaru, Riau","Siak, Sri Indrapura","Sultan ke-12 di Kesultanan Siak Sri  Indrapura. Pendukung Perjuangan Kemerdekaan Indonesia. Mendorong raja-raja di Sumatera Timur untuk mendukung dan mengintegrasikan diri dengan Republik Indonesia. Menyumbang harta kekayaannya sejumlah 13 juta gulden untuk Pemerintah Republik Indonesia, setara dengan 214,5 juta gulden (2014) atau 120,1 juta USD atau Rp 1,47 trilyun.Sultan Syarif Kasim II juga tidak segan-segan menyerahkan mahkota dan nyaris seluruh kekayaannya. Ini dilakukan sebagai penegas bahwa Kesultanan Siak Sri Inderapura yang dipimpinnya meleburkan diri ke dalam Negara Kesatuan Republik Indonesia (NKRI).Setelah dinobatkan menjadi sultan pada 1915, ia menggalakkan pembangunan di wilayahnya. Sultan Syarif Kasim II juga berupaya meningkatkan kualitas sumber daya manusia rakyat Siak Sri Inderapura melalui pendidikan demi mengejar ketertinggalan dari orang-orang Belanda."
H. Ilyas  Yacoub ,No Sk 074 / TK / 1999,13  Agustus  1999,1999,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/109.jpg,1903,"Asam Kumbang, Bayang, Pesisir Selatan,Sumatera Barat.",2 Agustus 1958,"KotoBarapak, Bayang, Pesisir Selatan, Sumatera Barat.","Koto Barapak, Pesisir Selatan","Pejuang Kemerdekaan Indonesia, Politisi, Wartawan. Pendiri PMI (Partai Muslimin Indonesia) Tahun 1930. Pendiri PERMI (Persatuan Muslim Indonesia, 1932).  Ketua DPRD  Sumatera  Tengah. Dikenal sebagai seorang ideolog.Ilyas Yacob menerbitkan majalan yang bernama ""Pilihan Timur"". Isi majalahnya mengkritik politik  rust en orde yang dijalankan Pemerintah Belanda yang ada di Indonesia. Ia menuding bahwa Pemerintah Belanda menonjolkan kekuatannya untuk menekan pergerakan rakyat.Ia memperkenalkan perjuangan PERMI di kalangan masyarakat luas dengan cara menerbitkan majalah Medan Rakyat. Pada awalnya penerbitan majalah ini di biayainya sendiri.untuk menyampaikan informasi mengenai perkembangan situasi, Ilyas Yacob menerbitkan brosur “Maju” yang berfungsi memelihara semangat perjuangan sebagai kursus politik jarak jauh pada saat pemerintah kolonial melarang adanya rapat bagi partai politik di Hindia Belanda."
"Prof. Dr. Hazairin, SH. ",No Sk 074 / TK / 1999,13  Agustus  1999,1999,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/110.jpg,28 November 1906,"Bukittinggi, SumateraBarat",11 Desember 1975,"Jakarta,Indonesia",TMPN Utama  Kalibata,"Pakar Hukum Adat, Aktifis Kemerdekaan, Pendidik. Menteri Dalam Negeri Republik Indonesia ke-11.Guru Besar Hukum Adat dan Hukum Islam di Universitas Indonesia, Guru Besar di Universitas Islam Jakarta, Perguruan Tinggi Hukum Militer (PTHM), dan Pendidikan Tinggi Ilmu Kepolisian (PTIK).Pada masa perang kemerdekaan Hazairin perannya yang menonjol dalam perjuangan yaitu ketika menjadi Wakil Gubernur Muda Propinsi Sumatera, ia mengeluakan kebijakan pencetakan uang kertas (Uang Hazairin) yang berlaku sejak 1 Desember 1947 sampai 27 Desember 1949 di dalam daerah Karesidenan Bengkulu.Hazairin membantu perjuangan secara swadana untuk membiayai kebutuhan logistik Tentara Keamanan Rakyat (TKR) di Wilayah Karesidenan Bengkulu di tahun 1949. Pada agresi militer Belanda II, ia bersama pasukan TKR berhasil menghancurkan seluruh jembatan yang ada di Karesidenan  Bengkulu  hingga  perbatasan Padang, Palembang dan Lampung dalam rangka menghambat serbuan dan gerak maju pasukan Belanda."
Abdul Kadir Gelar Raden Tumenggung Setia Pahlawan ,No Sk 114 / TK / 1999,13  Oktober  1999,1999,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/111.jpg,1771,"Sintang, Kalimantan Barat",1875,"Tanjung Suka Dua, Melawi,Kalimantan Barat","Tanjung Saka Dua, Nanga Pinoh, Malawi","Sejak muda telah mengabdi sebagai pegawai kerajaan SIntang. Abdul Kadir mampu menjalankan tugasnya dengan baik dan kemudian diangkat menjadi Kepala Pemerintahan Melawi menggantikan ayahnya. Ia kemudian mendapatkan gelar Raden Tumenggung yang diberikan oleh Raja Sintang.Ketika menjadi Kepala Pemerintahan Melawi, ia berperang melawan Pasukan Kolonial Belanda. Berhasil mengembangkan potensi perekonomian wilayah Melawi dan mempersatukan Suku Dayak dengan Melayu.Selama tujuh tahun (1868-1875) ia mengunakan strategi peran ganda, yaitu setia kepada Raja Sintang dan pemerintah Belanda namun secara diam-diam menghimpun kekuatan rakyat dan membentuk kesatuan bersenjata di daerah Melawi dan sekitarnya untuk menghadapi pasukan Belanda. Namun, akhirnya pemerintah Belanda mengetahuinya dan kemudian menyerang ke Pusat Perlawanan. Raden Temenggung ditangkap.Pada tahun 1866, Belanda memberikan hadiah uang dan gelar Setia Pahlawan dengan maksud agar Abdul Kadir mau bekerja sama , namun hal tersebut tidak berhasil untuk mengubah sikap anti Belandanya.Sistem perlawanan Raden Temenggung telah menjadi model perlawanan rakyat terhadap Belanda di SIntang hingga tahun 1913."
Hj. Fatmawati Soekarno ,No Sk 118 / TK / 2000,4 November 2000,2000,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/112.jpg,5 Februari 1923,"Bengkulu, Indonesia",14 Mei 1980,"Kuala Lumpur, Malaysia",TPU  Karet  Jakarta,"Penjahit Bendera Bendera Pusaka Sang Saka Merah Putih yang dikibarkan pada upacara Proklamasi Kemerdekaan Indonesia di Jakarta pada tanggal 17 Agustus 1945.Ia menjadi Ibu Negara Indonesia pertama yang merupakan istri dari Presiden Indonesia pertama Soekarno.Aktif berorganisasi yaitu menjadi pengurus Nasyla Aisyiah Muhammadiyah sebagai pembaca ayat Al-Qur’an, Paduan Suara (koor) dan Pawai Obor.Dalam bidang kewanitaan, Fatmawati telah berhasil menjadikan Ny.Wakijah Sukijo, Ny.Pujo Utomo dan Ny.Mahmudah Mas’ud sebagai anggota wanita dalam kepengurusan KNIP berdasarkan  Penpres  No. 17  tahun  1949.Pada 1951, Fatmawati dengan gigih ikut memperjuangkan   agar   dokumen,   barang dan arsip pemerintah RI yang dirampas oleh Belanda antara tahun 1945-1950 di Jakarta dan Yogyakarta dapat dikembalikan ke Indonesia.Turut  serta  secara aktif dalam memberikan bantuan mengirim perbekalan kepada isteri prajurit dan para prajurit yang sedang berjuang di wilayah pertempuran.Fatmawati merupakan salah seorang yang gigih berjuang menjadikan eks Karasidenan Bengkulu sebagai Provinsi Bengkulu."
Ranggong Daeng Romo ,No Sk 109 / TK / 2001,3  November  2001,2001,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/113.jpg,1915,"Kampung Bone-Bone, Polongbangkeng,Kabupaten Takalar, Sulawesi Selatan",27 Februari 1947,"Markasbesar Lapris, Langgese","Komara, Takalar","Ranggong Daeng Romo adalah seorang pejuang gerilya asal Sulawesi Selatan. Pada tanggal 16 Oktober 1945, dibentuk organisasi Angkatan Muda Bajeng di bawah pimpinan Ranggong Daeng Romo, untuk mengibarkan jiwa dansemangat perjuangan menentang Belanda.Pada tanggal 5 Desember 1945, Ranggong Daeng Romo diangkat menjadi Komandan Barisan Gerakan Muda Bajeng, yang kegiatannya tidak hanya pada bidang kemiliteran tetapi juga di bidang pemerintahan, dalam usaha mempertahankan kemerdekaan, Gerakan Muda Bajeng beberapa kali mengalami bentrokan senjata dengan Belanda.Tanggal 2 April 1946 Gerakan Muda Bajeng diubah menjadi Laskar Lipan Bajeng dan Ranggong Daeng Romo diangkat menjadi pimpinan tertinggi.Tanggal 17 Juli 1946 terbentuklah Laskar Pemberontakan Rakyat Indonesia Sulawesi (LAPRIS). Ranggong Daeng Romo menjadi panglima.Tanggal 8 Agustus 1946, pasukan tersebut berhasil mempertahankan markas besar LAPRIS di Rannaya Palembangkung dengan gagah berani, penuh kesatria dan akhirnya dapat dipukul mundur.Ranggong Daeng Romo tewas dalam perlawanan mempertahankan daerah dari serangan pasukan Belanda."
Brigjen TNI (Purn) H. Hasan Basry ,No Sk 110 / TK / 2001,3  November  2001,2001,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/114.jpg,17 Juni 1923,"Kandangan,Hulu Sungai Selatan",15 Juli 1984,"Jakarta,Indonesia","Jl. A. Yani, Banjar Baru","Seorang Pejuang Kemerdekaan Indonesia, Bapak Gerilya Kalimantan, Ketua Umum Harian Angkatan 45 Kalsel, Anggota DPR, Dewan Paripurna Angkatan 45 dan Legiun Veteran RI. Panglima Daerah Militer XPerannya sebagai perwira angkatan laut bersama laskar-laskar di Kalimantan dalam upaya penegakan kemerdekaan Republik Indonesia yang membuat Belanda sulit untuk menginjakan kaki di tanah Kalimantan.Yang membuat Belanda sulit untuk menginjakan kaki di tanah Kalimantan.Menghentikan kegiatan politik PKI di Kalimantan Selatan di tahun 1960-an.17 Mei 1949 memproklamasikan berdirinya Kalimantan untuk bergabung dengan Republik IndonesiaTurut andil dalam pembangunan Universitas Lambung Mangkurat pada tanggal sebagai upaya memajukan pendidikan bagi rakyat Kalimantan."
Jend. Besar TNI. Kehormatan A.H. Nasution ,No Sk 073 / TK / 2002,6  November  2002,2002,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/115.jpg,3 Desember 1918,"Kotanopan, Mandailing Natal, Sumatera Utara",5 September 2000,"Jakarta, Indonesia","TMPN Utama  Kalibata, Jakarta","Nasution merupakan peletak dasar sistem gerilya pada masa revolusi mempertahankan kemerdekaan melawan BelandaSetelah lulus dari AMS pada 1938, Abdul Haris Nasution berhenti mengajar dan masuk Akademi Militer di Bandung, Ia kemudian diangkat menjadi Komandan Divisi I Siliwangi Bandung. Ia juga pernah menjadi Wakil Panglima Besar, Paglima Komando Jawa, dan diangkat sebagai Kepala Staf Angkatan Darat (KSAD).Nasution merupakan salah satu dari 7 Jendral yang akan diculik dalam G30S, ia berhasil lolos namun putrinya Ade Irma Suryani tertembak dan meninggal dalam peristiwa tersebut,Pada tahun 1966 Nasution menduduki jabatan baru sebagai Ketua Majelis Permusyawaratan Rakyat Sementara (MPRS), ia kemudian mengesahkan beberapa ketetapan penting, seperti pelarangan Marxisme-Leninisme, pembatalan pengangkatan Soekarno sebagai presiden seumur hidup, dan keputusan untuk mengadakan pemilihan umum pada Juli 1968.Nasution juga menulis buku tentang Dasar-dasar Perang Gerilya, kemudian menjadi buku tentang Gerilya yang paling sering dikaji, di samping buku Mao Zedong tentang masalah yang sama."
Jend. TNI. Keh. GPH. Djatikusumo ,No Sk 073 / TK / 2002,6  November  2002,2002,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/116.jpg,1 Juli 1917,"Surakarta, JawaTengah",4 Juli 1992,"Jakarta,Indonesia","Imogiri, Yogyakarta","Prajurit dan Pejuang dari Keraton Surakarta. Kepala Staf TNI  Angkatan  Darat  yang  pertama.  Duta  Besar RI. Menteri Kebudayaan dan Pariwisata yang pertama.  Menteri  Perhubungan.Prajurit dan Pejuang dari Keraton Surakarta. Kepala Staf TNI  Angkatan  Darat  yang  pertama.  Duta  Besar RI. Menteri Kebudayaan dan Pariwisata yang pertama.  Menteri  Perhubungan.Mendaftarkan diri sebagai tentara PETA tahun 1943-1944 dan mengikuti pendidikan perwira di Bogor, selesai pendidikan KGPH. Djatikusumo diangkat sebagai Komandan Cudar I Daida I Tentara PETA di  Surakarta- Jawa Tengah.Membentuk Badan Keamanan Rakyat (BKR) Surakarta dan kemudian menjabat Komandan Batalyon Tentara Keamanan Rakyat (TKR). Pada November 1943 diangkat sebagai Panglima Divisi Infantri IV - TKR bermarkas di Salatiga dengan pangkat mayor jenderal.Pada 1946 Djatikusumo memprakarsai Sekolah Opsir cadangan di Salatiga yang merupakan perpaduan antara pendidikan perwira cadangan dengan pendidikan umum sekolah menengah pelayaran khusus militer. Sewaktu menjabat Direktur Zeni Angkatan Darat, Djatikusumo mendirikan Akademi Teknik Angkatan Darat (ATEKAD) yang dimaksudkan untuk mengisi kekurangan tenaga teknik yang kompeten  di lingkungan TNI-AD.Djatikusumo merupakan pencetus Sendra Tari Ramayana dengan Candi Prambanan sebagai latar belakang."
Andi Djemma ,No Sk 073 / TK / 2002,6  November  2002,2002,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/117.jpg,15 Januari 1901,"Palopo, Sulawesi Selatan",23 Februari 1965,"Makassar,Sulawesi Selatan","TMP  Panaikang,  Makassar","Raja (Datu) Luwu. Aktivis Kemerdekaan, memimpin Perlawanan Semesta Rakyat Luwu terhadap  Belanda selama Revolusi Nasional.Sulewatang (kepala distrik) Ngapa pada tahun 1919. Empat tahun kemudian ia dipindahkan ke daerah Ware, juga sebagai Sulewatang. Sementara itu, ia pun ditetapkan sebagai wakil Datu Luwu.Ibunda Andi Djemma, Andi Kambo adalah seorang raja (datu) Palopo yang merupakan ibu kota kerajaan Luwu. Ketika ibunya meninggal dunia pada tahun 1935, Andi Djemma diangkat sebagai Datu Luwu.Memprakarsai pembentukan organisasi Soekarno Muda (SM) pada  tanggal 2 September 1945 untuk melakukan gerakan merebut senjata Jepang di  Palopo. Andi Djemma menyatakan bahwa daerah Luwu adalah bagian dari NKRI. Ia juga menegaskan bahwa Pemerintah Luwu menolak kerja sama dengan aparat NICA."
Pong  Tiku alias Ne Baso ,No Sk 073 / TK / 2002,6  November  2002,2002,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/118.jpg,1846,"Panggala Toraja Utara, Sulawesi Selatan",10 Juli 1907,"Sungai Sadan,Singki Rantepao, Toraja, Sulawesi Selatan","TPU  Pangala,  Tana  Toraja.","Pong Tiku merupakan bangsawan Toraja dan panglima perang di Tana Toraja dan Toraja Utara dalam perlawanan terhadap Penjajah Belanda.Setelah menaklukan kerajaan Bone, pada tahun 1905 Belanda melanjutkan operasi-operasi militernya ke kerajaan-kerajaan lain. Satu persatu kerajaan ini mereka taklukkan, termasuk kerajaan Luwu dengan ibu kotanya Palopo. Tana Toraja pun merupakan sasaran untuk dikuasai.Operasi militer Belanda untuk menduduki Tana Toraja dimulai dari Palopo. Pada akhir bulan Maret 1906 Belanda mengirim surat kepada Pong Tiku meminta agar ia datang ke Rantepao. Pong Tiku menolak dengan tegas. Permintaan kedua yang disampaikan Belanda pada pertengahan April 1906, juga ditolaknya.Dua kali Pong Tiku menolak untuk datang ke Rantepao, Belanda memutuskan untuk melancarkan serangan ke benteng-benteng pertahanan Pong Tiku.Pertempuan sengit antara Pong Tiku dan Belanda tidak terelakkan. Satu per satu benteng pertahanan Pong Tiku dikuasai oleh Belanda. Pong Tiku dan pasukannya terdesak. Ia berhasil menyelamatkan diri dari kejaran Belanda. namun, tak berlangsung lama ia segera ditangkap dipersembunyiannya. Pada 30 Juuni 1907 ia dijatuhi hukuman mati."
Prof. MR. RH. Iwa Kusuma Sumantri ,No Sk 073 / TK / 2002,6  November  2002,2002,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/119.jpg,31 Mei 1899,"Ciamis, Jawa Barat",27 November 1971,"RumahSakit Cipto Mangunkusumo, Jakarta.",TPU  Karet  Jakarta.,"Tahun 1927 Iwa kembali ke Indonesia, Iwa membuka kantor pengacara di Medan dan menerbitkan surat kabar Mata Hari Indonesia yang sering memuat tulisan mengkritik dan menentang Belanda, akibatnya Iwa kemudian dibuang ke Banda dan selanjutnya ke MakassarPada tahun 1944 Iwa kembali ke Jakarta dan membuka praktik sebagai pengacara, dan kemudian pindah ke Medan. Iwa terkenal sebagai pengacara yang banyak membantu kepentingan rakyat, terutama para buruh perkebunan di Deli,Setelah Indonesia merdeka, Iwa diangkat menjadi Menteri Sosial dan Perburuhan pada Kabinet RI pertama. kemudian pada masa Kabinet Ali Wongso yang dibentuk pada tahun 1953, Iwa diangkat menjadi Menteri Pertahanan yang berasal dari kalangan sipilIwa menjadi Anggota Panitia Persiapan Kemerdekaan Indonesia (PPKI). Ia juga menjadi anggota Dewan Nasional. Pada tahun 1958 Iwa diangkat menjadi Rektor Pertama UNPAD kemudian tahun 1961 menjadi Menteri Perguruan Tinggi dan Ilmu Pengetahuan.Terakhir Iwa diangkat menjadi Menteri negara pada 1962, dan berakhir sampai tahun 1966."
H.I. Nani Wartabone ,No Sk 085 / TK / 2003,6 Nopember 2003,2003,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/120.jpg,30 Januari 1907,"Kampung Suwawa,Gorontalo",3 Januari 1986,"Suwawa,Gorontalo","Kota Kupang, Gorontalo","Pejuang Kemerdekaan Indonesia. Kepala pemerintahan di Gorontalo, Kepala Daerah Sulawesi Utara. Anggota MPRS, Anggota DPRGR, Anggota Dewan Perancang Nasional, Anggota DPA.Hi Nani Wartabone memulai perjuangan sejak tahun 1923 ketika mendirikan dan menjadi Sekretaris “Jong Gorontalo” di Surabaya. Ia juga menjadi Ketua PNI Cabang Gorontalo. Pada bulan Juli 1931 ia memipin rapat PNI dan berani melawan pihak kolonial yang ingin membubarkan rapat tersebut dengan mendemontrasikan lagu “Indonesia Raya”. Pada 1941 ia membentuk organisasi rahasia Komite 12 untuk menghadapi perang Pasifik. Kemudian 23 Januari 1942 ia memimpin pemberontakan dan memproklamasikan Gorontalo merdeka sebelum Jepang tiba.Tahun 1943 ia ditangkap dengan tuduhan menyiapan pemberontakkan dan dibebaskan setelah jatuhnya PM Tojo. Pada 16 Agustus setelah Jepang menyerahkan pemerintahan kepadanya ia mengadakan upacara kenaikan kembali “Sang Saka Merah Putih”. Pada 28 Agustus 1945 ia berhasil menguasai Telekomunikasi Radio Jepang, dan membentuk Dewan Nasional. Ia dipenjara selama 15 tahun dan dibebaskan dengan syarat tidak boleh memasuki Indonesia Timur.Tahun 1958 ia memimpin penumpasan terhadap pemberontak Permesta di Gorontalo."
